"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","molecular_function","GO:0003674","1","0","2916","5","5","2920","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"GO:MF","heterocyclic compound binding","GO:1901363","1","0","1221","5","2","2920","Q8IJU3,Q8IM49"
"GO:MF","ATP-dependent activity","GO:0140657","1","0","285","5","1","2920","Q8IJU3"
"GO:MF","catalytic activity, acting on a nucleic acid","GO:0140640","1","0","351","5","1","2920","Q8IJU3"
"GO:MF","catalytic activity, acting on RNA","GO:0140098","1","0","247","5","1","2920","Q8IJU3"
"GO:MF","catalytic activity, acting on DNA","GO:0140097","1","0","108","5","1","2920","Q8IJU3"
"GO:MF","organic cyclic compound binding","GO:0097159","1","0","1222","5","2","2920","Q8IJU3,Q8IM49"
"GO:MF","ATP-dependent activity, acting on RNA","GO:0008186","1","0","54","5","1","2920","Q8IJU3"
"GO:MF","ATP-dependent activity, acting on DNA","GO:0008094","1","0","54","5","1","2920","Q8IJU3"
"GO:MF","protein binding","GO:0005515","1","0","797","5","4","2920","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:MF","binding","GO:0005488","1","0","2077","5","5","2920","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"GO:MF","helicase activity","GO:0004386","1","0","90","5","1","2920","Q8IJU3"
"GO:MF","catalytic activity","GO:0003824","1","0","1540","5","1","2920","Q8IJU3"
"GO:MF","RNA helicase activity","GO:0003724","1","0","54","5","1","2920","Q8IJU3"
"GO:MF","RNA binding","GO:0003723","1","0","419","5","2","2920","Q8IJU3,Q8IM49"
"GO:MF","DNA helicase activity","GO:0003678","1","0","35","5","1","2920","Q8IJU3"
"GO:MF","nucleic acid binding","GO:0003676","1","0","764","5","2","2920","Q8IJU3,Q8IM49"
"GO:MF","hydrolase activity","GO:0016787","1","0","694","5","1","2920","Q8IJU3"
"GO:BP","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000462","0.14478897995374435","0.8392644915049373","27","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","maturation of SSU-rRNA","GO:0030490","0.25828144241285167","0.5879067968744027","36","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","ribosome assembly","GO:0042255","0.335025770458338","0.47492178538884555","41","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","ribosomal small subunit biogenesis","GO:0042274","0.43984781210856594","0.3566975639558796","47","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","non-membrane-bounded organelle assembly","GO:0140694","0.6675250299202588","0.1755324450908065","58","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","ribosome biogenesis","GO:0042254","0.696325654274764","0.15718760409955268","223","5","3","2939","Q8IAM3,Q8IBM7,Q8IHQ8"
"GO:BP","DNA geometric change","GO:0032392","1","0","44","5","1","2939","Q8IJU3"
"GO:BP","regulation of metabolic process","GO:0019222","1","0","318","5","1","2939","Q8IJU3"
